category_numeric,amt,state_numeric,job_numeric,trans_hour,month_name_numeric,dayOfWeek_numeric,is_fraud
5,78.67,20,1,23,6,0,0
1,104.34,21,13,23,6,0,0
5,31.75,29,20,23,6,0,0
2,5.94,21,13,23,6,0,0
1,78.86,2,14,23,6,0,0
5,2.63,20,1,23,6,0,0
4,92.69,1,11,23,6,0,0
8,8.57,1,1,23,6,0,0
9,9.81,11,14,23,6,0,0
8,19.58,23,16,23,6,0,0
1,60.08,11,14,23,6,0,0
4,9.07,2,14,23,6,0,0
8,28.55,8,8,23,6,0,0
0,151.8,29,20,23,6,0,0
9,7.84,1,1,23,6,0,0
4,3.69,1,1,23,6,0,0
9,2.4,7,16,23,6,0,0
3,205.82,2,9,23,6,0,0
6,36.13,1,1,23,6,0,0
0,75.74,29,6,23,6,0,0
0,118.65,7,16,23,6,0,0
3,80.22,7,2,23,6,0,0
7,325.61,29,20,0,6,1,0
9,81.6,20,18,0,6,1,0
11,87.12,8,8,0,6,1,0
11,62.7,24,17,0,6,1,0
7,8.64,8,8,0,6,1,0
12,211.71,5,5,0,6,1,0
13,48.85,1,11,0,6,1,0
6,21.4,5,5,0,6,1,0
11,56.35,13,1,0,6,1,0
6,37.43,16,4,0,6,1,0
6,13.72,28,0,0,6,1,0
13,60.02,27,19,0,6,1,0
11,72.98,31,9,0,6,1,0
12,96.8,2,10,0,6,1,0
12,215.37,2,8,1,6,1,0
11,73.76,21,13,1,6,1,0
11,76.1,17,3,1,6,1,0
11,55.23,3,3,1,6,1,0
4,3.2,0,0,1,6,1,0
4,2.95,29,20,1,6,1,0
7,9.08,11,19,1,6,1,0
11,67.72,18,14,1,6,1,0
11,47.74,21,13,1,6,1,0
12,65.29,17,3,1,6,1,0
12,140.51,23,16,1,6,1,0
4,2.25,31,9,1,6,1,0
11,92.12,8,2,2,6,1,0
7,2.71,16,4,2,6,1,0
12,197.35,2,14,2,6,1,0
6,238.46,16,4,2,6,1,0
4,21.22,1,20,2,6,1,0
7,32.13,14,13,2,6,1,0
12,102.57,11,21,2,6,1,0
12,130.44,13,18,2,6,1,0
12,63.81,32,11,2,6,1,0
9,93.02,7,2,2,6,1,0
13,53.77,9,10,2,6,1,0
9,30.31,21,13,2,6,1,0
13,36.79,16,15,2,6,1,0
12,92.54,6,19,2,6,1,0
12,116.59,5,7,3,6,1,0
11,45.89,18,5,3,6,1,0
9,3.78,0,0,3,6,1,0
13,72.2,17,7,3,6,1,0
11,52.58,2,21,3,6,1,0
12,103.57,22,12,3,6,1,0
11,64.99,25,21,3,6,1,0
12,35.17,5,10,3,6,1,0
12,58.48,6,6,3,6,1,0
12,195.12,2,8,3,6,1,0
8,114.67,25,16,3,6,1,0
4,38.8,12,5,3,6,1,0
6,5.55,16,4,3,6,1,0
12,141.75,30,15,3,6,1,0
7,8.76,24,17,3,6,1,0
12,136.1,17,7,3,6,1,0
7,6.53,21,13,3,6,1,0
12,94.7,28,0,4,6,1,0
13,42.38,4,4,4,6,1,0
9,1.29,5,7,4,6,1,0
13,39.64,14,13,4,6,1,0
12,137.1,5,7,4,6,1,0
12,192.0,11,3,4,6,1,0
11,45.66,6,6,4,6,1,0
9,19.53,15,19,4,6,1,0
9,176.6,30,15,4,6,1,0
7,72.29,5,5,4,6,1,0
9,1.93,11,11,4,6,1,0
6,3.15,21,10,4,6,1,0
6,21.84,5,5,4,6,1,0
9,7.24,28,19,4,6,1,0
11,48.25,2,2,4,6,1,0
9,97.83,30,14,4,6,1,0
11,66.59,2,2,4,6,1,0
12,99.47,11,21,4,6,1,0
12,120.5,21,13,4,6,1,0
12,85.17,25,16,5,6,1,0
12,146.59,11,19,5,6,1,0
11,47.96,17,3,5,6,1,0
6,6.41,3,3,5,6,1,0
11,46.61,5,7,5,6,1,0
4,19.24,6,19,5,6,1,0
7,7.74,19,0,5,6,1,0
11,47.22,17,3,5,6,1,0
12,133.55,15,5,5,6,1,0
4,8.49,21,9,5,6,1,0
11,43.36,4,4,5,6,1,0
11,65.39,21,10,5,6,1,0
11,54.8,13,18,5,6,1,0
9,9.08,0,0,5,6,1,0
11,72.68,6,19,5,6,1,0
4,1.65,15,19,5,6,1,0
6,1.93,11,19,5,6,1,0
12,79.69,13,18,5,6,1,0
4,140.95,7,2,5,6,1,0
12,139.69,21,13,5,6,1,0
11,67.33,14,19,5,6,1,0
11,62.21,4,4,6,6,1,0
6,86.74,7,16,6,6,1,0
4,2.72,21,10,6,6,1,0
11,53.77,31,15,6,6,1,0
6,42.35,16,4,6,6,1,0
11,62.03,11,11,6,6,1,0
7,150.25,4,4,6,6,1,0
9,2.34,21,1,6,6,1,0
13,60.56,2,9,6,6,1,0
7,1.8,2,8,6,6,1,0
9,119.49,14,21,6,6,1,0
12,60.61,2,2,6,6,1,0
7,320.13,5,5,6,6,1,0
7,21.11,22,12,6,6,1,0
11,68.81,30,15,7,6,1,0
11,56.86,25,16,7,6,1,0
6,7.64,9,8,7,6,1,0
11,51.0,2,2,7,6,1,0
9,85.53,27,19,7,6,1,0
12,175.15,1,11,7,6,1,0
11,43.56,6,11,7,6,1,0
11,92.91,24,17,7,6,1,0
9,99.4,27,19,7,6,1,0
7,9.46,8,8,7,6,1,0
11,60.79,8,2,7,6,1,0
11,67.12,6,19,7,6,1,0
12,149.47,33,15,7,6,1,0
11,47.97,6,19,7,6,1,0
11,40.81,21,13,7,6,1,0
11,85.62,30,15,7,6,1,0
4,663.76,2,21,7,6,1,0
6,606.25,21,13,8,6,1,0
9,7.4,29,20,8,6,1,0
11,70.78,0,0,8,6,1,0
12,95.05,26,8,8,6,1,0
12,105.4,2,10,8,6,1,0
11,45.19,11,11,8,6,1,0
3,60.45,0,20,8,6,1,0
9,99.63,7,2,8,6,1,0
7,2.93,34,1,8,6,1,0
7,4.35,18,14,8,6,1,0
7,12.07,2,21,8,6,1,0
7,3.06,0,0,8,6,1,0
12,82.06,1,1,8,6,1,0
11,87.43,11,20,9,6,1,0
11,69.57,2,10,9,6,1,0
13,54.61,13,18,9,6,1,0
12,78.13,4,4,9,6,1,0
12,125.01,9,8,9,6,1,0
11,67.78,35,3,9,6,1,0
13,50.84,11,20,9,6,1,0
7,11.32,11,11,9,6,1,0
7,5.25,4,2,9,6,1,0
12,225.47,7,16,9,6,1,0
12,102.15,20,18,9,6,1,0
9,101.98,20,1,9,6,1,0
12,98.42,15,6,9,6,1,0
6,33.03,2,14,10,6,1,0
13,62.99,16,4,10,6,1,0
4,3.9,21,9,10,6,1,0
13,107.63,2,7,10,6,1,0
11,60.18,13,18,10,6,1,0
12,194.93,16,4,10,6,1,0
12,107.61,6,11,10,6,1,0
13,48.49,1,11,10,6,1,0
4,8.98,11,2,10,6,1,0
9,83.07,11,2,10,6,1,0
13,51.75,16,4,10,6,1,0
6,71.06,2,14,10,6,1,0
3,4.49,25,16,10,6,1,0
13,65.78,16,15,10,6,1,0
7,2.34,28,0,11,6,1,0
9,3.65,4,2,11,6,1,0
13,67.99,11,3,11,6,1,0
11,72.01,9,8,11,6,1,0
13,37.5,25,18,11,6,1,0
11,51.07,6,6,11,6,1,0
12,100.52,18,5,11,6,1,0
13,58.95,11,3,11,6,1,0
13,21.18,5,10,11,6,1,0
4,3.53,30,0,11,6,1,0
4,5.15,30,15,11,6,1,0
11,59.01,13,18,11,6,1,0
11,65.79,22,12,11,6,1,0
0,156.39,21,13,12,6,1,0
5,2.68,26,8,12,6,1,0
0,4.49,17,3,12,6,1,0
8,28.8,16,4,12,6,1,0
5,7.93,21,10,12,6,1,0
4,80.9,13,1,12,6,1,0
8,137.63,9,10,12,6,1,0
8,37.64,5,5,12,6,1,0
3,109.96,18,14,12,6,1,0
2,21.16,22,12,12,6,1,0
3,75.04,4,4,12,6,1,0
9,6.28,1,11,12,6,1,0
4,8.27,21,13,13,6,1,0
8,15.36,14,19,13,6,1,0
2,48.49,11,20,13,6,1,0
8,70.13,2,14,13,6,1,0
7,7.0,4,4,13,6,1,0
10,4.81,1,20,13,6,1,0
8,52.81,5,5,13,6,1,0
0,54.59,16,15,13,6,1,0
8,14.14,25,18,13,6,1,0
1,136.79,16,4,13,6,1,0
5,21.95,14,13,13,6,1,0
8,2.18,21,13,13,6,1,0
0,16.59,11,14,13,6,1,0
6,48.34,0,12,13,6,1,0
1,119.33,1,20,13,6,1,0
0,65.75,2,9,13,6,1,0
8,16.67,16,4,13,6,1,0
9,4.39,11,12,13,6,1,0
5,140.97,6,11,13,6,1,0
3,99.61,4,4,13,6,1,0
1,11.86,6,19,13,6,1,0
1,8.68,17,7,13,6,1,0
8,16.3,14,21,13,6,1,0
8,22.42,22,12,13,6,1,0
5,39.97,17,3,14,6,1,0
0,31.11,5,7,14,6,1,0
2,20.22,1,1,14,6,1,0
1,60.72,15,19,14,6,1,0
3,88.17,29,20,14,6,1,0
2,10.77,13,18,14,6,1,0
7,9.81,11,12,14,6,1,0
1,50.57,35,3,14,6,1,0
0,77.29,7,2,14,6,1,0
4,6.89,8,9,14,6,1,0
0,11.83,11,21,14,6,1,0
0,5.79,1,20,14,6,1,0
8,34.6,11,20,14,6,1,0
0,33.75,23,16,14,6,1,0
5,43.79,8,2,14,6,1,0
5,14.29,8,8,14,6,1,0
0,23.13,30,15,14,6,1,0
8,34.85,7,15,14,6,1,0
2,29.19,11,20,14,6,1,0
2,72.65,16,4,14,6,1,0
1,74.16,11,3,14,6,1,0
2,5.31,22,12,14,6,1,0
6,1.95,13,18,14,6,1,0
1,38.99,13,1,15,6,1,0
10,5.46,5,10,15,6,1,0
1,171.8,18,14,15,6,1,0
3,12.75,4,2,15,6,1,0
1,57.6,2,10,15,6,1,0
2,62.91,13,1,15,6,1,0
0,20.58,7,16,15,6,1,0
5,44.21,1,1,15,6,1,0
9,7.97,11,21,15,6,1,0
10,1.19,31,15,15,6,1,0
8,60.47,2,14,15,6,1,0
0,53.02,2,9,15,6,1,0
0,71.19,27,19,15,6,1,0
9,7.08,7,16,15,6,1,0
1,54.02,9,10,15,6,1,0
1,1.7,22,12,15,6,1,0
5,31.24,2,9,15,6,1,0
5,140.25,16,4,15,6,1,0
1,70.84,30,0,15,6,1,0
5,52.07,11,19,15,6,1,0
12,77.48,6,6,15,6,1,0
3,8.56,31,9,16,6,1,0
1,59.66,2,7,16,6,1,0
4,4.92,4,4,16,6,1,0
0,113.28,9,10,16,6,1,0
2,29.82,2,7,16,6,1,0
9,6.24,13,1,16,6,1,0
3,59.84,2,14,16,6,1,0
2,78.86,6,11,16,6,1,0
10,6.93,6,11,16,6,1,0
8,95.02,8,9,16,6,1,0
2,13.83,15,19,16,6,1,0
2,42.86,5,7,16,6,1,0
1,26.66,8,9,16,6,1,0
2,47.71,1,1,16,6,1,0
1,43.22,13,18,16,6,1,0
8,21.62,9,10,16,6,1,0
0,14.68,17,3,16,6,1,0
5,3.21,6,19,17,6,1,0
2,79.81,28,3,17,6,1,0
2,57.65,33,20,17,6,1,0
0,26.71,11,19,17,6,1,0
4,7.28,7,16,17,6,1,0
8,34.75,18,14,17,6,1,0
2,55.94,1,11,17,6,1,0
5,11.56,14,21,17,6,1,0
9,5.03,21,13,17,6,1,0
6,19.63,2,2,17,6,1,0
3,36.42,11,3,17,6,1,0
6,38.69,2,14,17,6,1,0
10,7.7,15,5,17,6,1,0
0,1.18,1,1,17,6,1,0
10,4.16,14,13,17,6,1,0
5,78.55,27,19,17,6,1,0
8,53.28,4,1,17,6,1,0
2,58.99,2,14,17,6,1,0
2,38.22,6,11,18,6,1,0
8,22.08,4,4,18,6,1,0
0,121.98,2,8,18,6,1,0
6,35.23,13,18,18,6,1,0
2,20.12,12,5,18,6,1,0
2,75.31,16,15,18,6,1,0
3,62.06,7,2,18,6,1,0
6,6.62,2,10,18,6,1,0
1,47.68,3,3,18,6,1,0
3,78.63,13,18,18,6,1,0
3,47.86,11,19,18,6,1,0
10,9.11,1,1,18,6,1,0
3,42.81,2,21,18,6,1,0
7,286.31,8,2,18,6,1,0
10,8.72,23,16,18,6,1,0
1,39.95,21,13,18,6,1,0
2,23.24,20,1,18,6,1,0
8,71.73,5,5,18,6,1,0
2,70.3,8,9,18,6,1,0
2,27.5,11,14,18,6,1,0
8,8.21,11,14,18,6,1,0
1,18.44,17,3,19,6,1,0
0,30.98,21,13,19,6,1,0
3,66.66,5,5,19,6,1,0
0,62.29,21,1,19,6,1,0
5,102.88,2,8,19,6,1,0
5,24.33,31,9,19,6,1,0
10,8.04,29,20,19,6,1,0
8,42.57,16,4,19,6,1,0
5,53.37,16,4,19,6,1,0
10,1.39,8,2,19,6,1,0
10,8.58,7,15,19,6,1,0
1,21.83,8,8,19,6,1,0
1,38.47,30,14,19,6,1,0
3,49.06,16,15,19,6,1,0
5,71.73,7,2,19,6,1,0
8,3.45,17,3,19,6,1,0
1,68.1,30,0,19,6,1,0
5,27.87,4,2,19,6,1,0
8,30.02,5,7,19,6,1,0
0,2.06,11,14,19,6,1,0
10,7.56,11,19,19,6,1,0
5,7.38,32,11,19,6,1,0
5,8.54,13,1,19,6,1,0
0,17.48,33,15,19,6,1,0
0,72.76,28,3,19,6,1,0
0,16.32,9,10,20,6,1,0
1,80.26,5,7,20,6,1,0
4,8.38,15,5,20,6,1,0
5,39.0,7,15,20,6,1,0
8,2.43,11,12,20,6,1,0
1,111.2,26,8,20,6,1,0
9,68.5,1,1,20,6,1,0
3,84.24,7,15,20,6,1,0
10,532.14,27,19,20,6,1,0
0,21.19,2,14,20,6,1,0
4,6.54,7,16,20,6,1,0
6,33.85,11,21,20,6,1,0
4,31.14,2,8,20,6,1,0
0,30.83,4,2,20,6,1,0
0,22.59,16,4,20,6,1,0
5,15.62,8,8,20,6,1,0
2,78.82,6,11,20,6,1,0
8,35.61,30,15,20,6,1,0
5,42.94,0,0,20,6,1,0
10,8.48,9,10,20,6,1,0
3,68.39,11,3,21,6,1,0
3,244.75,2,14,21,6,1,0
9,2.07,18,5,21,6,1,0
8,37.71,26,8,21,6,1,0
2,17.8,13,1,21,6,1,0
5,154.13,6,19,21,6,1,0
0,37.7,14,13,21,6,1,0
8,50.42,2,14,21,6,1,0
4,4.09,18,14,21,6,1,0
1,34.66,16,4,21,6,1,0
9,8.72,8,2,21,6,1,0
9,338.96,2,7,21,6,1,0
9,10.23,5,5,21,6,1,0
1,77.44,26,8,21,6,1,0
1,28.55,33,15,21,6,1,0
5,69.09,13,18,21,6,1,0
7,7.64,14,19,21,6,1,0
2,38.32,4,4,21,6,1,0
9,3.91,18,14,21,6,1,0
1,31.72,5,7,21,6,1,0
10,532.56,20,18,21,6,1,0
0,83.12,11,11,22,6,1,0
1,40.44,1,11,22,6,1,0
0,66.95,23,16,22,6,1,0
6,6.07,21,13,22,6,1,0
2,5.47,8,8,22,6,1,0
8,10.69,12,5,22,6,1,0
7,2.38,18,5,22,6,1,0
4,6.82,17,3,22,6,1,0
2,23.31,2,8,22,6,1,0
1,96.54,8,8,22,6,1,0
6,14.54,4,4,22,6,1,0
2,22.78,14,21,22,6,1,0
5,54.46,13,18,22,6,1,0
1,32.19,5,7,22,6,1,0
8,57.41,21,1,22,6,1,0
0,188.71,12,5,22,6,1,0
5,12.87,25,18,22,6,1,0
5,9.56,2,10,22,6,1,0
3,93.95,2,14,22,6,1,0
1,46.6,11,19,22,6,1,0
5,17.15,22,12,22,6,1,0
2,10.67,5,5,22,6,1,0
1,148.41,5,7,22,6,1,0
5,11.72,9,10,22,6,1,0
0,42.98,32,11,22,6,1,0
0,87.97,2,9,22,6,1,0
6,6.73,10,7,22,6,1,0
9,7.9,10,7,22,6,1,0
4,38.5,13,18,22,6,1,0
9,42.71,1,11,22,6,1,0
9,726.29,2,14,22,6,1,0
5,10.63,3,3,22,6,1,0
1,68.25,2,10,22,6,1,0
2,43.41,21,10,22,6,1,0
9,124.5,5,5,23,6,1,0
8,3.02,21,13,23,6,1,0
8,20.25,2,14,23,6,1,0
1,113.55,29,20,23,6,1,0
7,3.01,21,13,23,6,1,0
9,3.57,7,16,23,6,1,0
10,7.15,11,12,23,6,1,0
9,56.52,8,2,23,6,1,0
3,13.74,13,1,23,6,1,0
2,44.19,28,19,23,6,1,0
8,14.13,19,0,23,6,1,0
10,4.75,8,9,23,6,1,0
0,39.11,13,1,23,6,1,0
9,9.35,21,13,23,6,1,0
4,407.15,32,11,23,6,1,0
5,6.83,11,12,23,6,1,0
3,24.33,2,2,23,6,1,0
0,19.94,17,7,23,6,1,0
1,96.55,13,18,23,6,1,0
8,103.05,8,9,23,6,1,0
2,3.76,14,21,23,6,1,0
3,40.39,1,11,23,6,1,0
5,6.69,16,15,23,6,1,0
9,96.13,7,2,0,6,2,0
11,75.83,11,3,0,6,2,0
11,45.77,31,9,0,6,2,0
12,110.54,11,12,0,6,2,0
12,89.84,11,12,0,6,2,0
12,125.44,23,16,0,6,2,0
11,66.28,11,19,0,6,2,0
12,74.28,1,20,0,6,2,0
11,49.0,18,5,0,6,2,0
9,51.44,0,0,0,6,2,0
11,67.73,25,21,0,6,2,0
4,7.25,34,1,0,6,2,0
11,69.39,4,1,0,6,2,0
12,92.91,11,14,0,6,2,0
7,118.95,28,3,1,6,2,0
4,6.19,5,7,1,6,2,0
12,98.4,7,2,1,6,2,0
7,3.04,10,7,1,6,2,0
11,58.76,22,12,1,6,2,0
12,74.26,11,21,1,6,2,0
11,63.09,11,21,1,6,2,0
9,20.88,30,15,1,6,2,0
11,64.73,8,2,2,6,2,0
9,8.41,0,0,2,6,2,0
12,63.52,8,2,2,6,2,0
11,71.99,25,16,2,6,2,0
11,65.44,7,15,2,6,2,0
13,32.06,11,12,2,6,2,0
13,57.92,2,7,2,6,2,0
11,56.38,10,7,2,6,2,0
12,133.07,29,20,2,6,2,0
4,122.2,7,2,2,6,2,0
12,224.08,2,8,2,6,2,0
6,32.86,28,3,3,6,2,0
9,3.76,20,1,3,6,2,0
9,2.41,2,21,3,6,2,0
12,70.61,21,13,3,6,2,0
12,120.25,22,12,3,6,2,0
7,1.04,8,8,3,6,2,0
12,172.43,2,14,3,6,2,0
12,104.45,27,19,3,6,2,0
12,187.0,2,9,3,6,2,0
12,112.32,25,16,3,6,2,0
11,62.76,3,3,3,6,2,0
12,120.47,28,0,3,6,2,0
4,5.28,34,1,3,6,2,0
11,102.01,2,2,3,6,2,0
4,9.65,26,8,3,6,2,0
11,51.35,1,1,4,6,2,0
11,66.45,21,1,4,6,2,0
4,121.86,35,3,4,6,2,0
12,48.55,18,14,4,6,2,0
12,78.36,7,15,4,6,2,0
11,68.67,22,12,4,6,2,0
11,51.12,2,10,4,6,2,0
12,201.77,1,11,4,6,2,0
13,35.55,2,14,4,6,2,0
9,2.66,0,0,4,6,2,0
12,42.48,10,7,4,6,2,0
12,95.52,11,14,4,6,2,0
11,51.12,17,7,4,6,2,0
4,4.97,25,16,4,6,2,0
4,6.86,34,1,5,6,2,0
11,69.58,29,20,5,6,2,0
11,49.31,11,12,5,6,2,0
12,186.65,2,14,5,6,2,0
12,99.0,28,3,5,6,2,0
7,3.68,4,2,5,6,2,0
12,104.18,21,13,5,6,2,0
12,92.32,2,10,5,6,2,0
4,3.5,15,6,5,6,2,0
12,126.6,26,8,5,6,2,0
6,194.22,2,9,5,6,2,0
12,133.39,29,20,5,6,2,0
12,102.12,27,19,5,6,2,0
11,43.54,28,19,5,6,2,0
11,65.47,15,6,5,6,2,0
4,9.55,5,7,6,6,2,0
6,119.96,11,19,6,6,2,0
12,104.96,21,9,6,6,2,0
12,188.42,2,14,6,6,2,0
7,364.03,14,13,6,6,2,0
11,42.47,2,21,6,6,2,0
7,34.19,0,0,6,6,2,0
3,17.81,28,0,6,6,2,0
11,61.01,6,6,6,6,2,0
7,9.34,5,7,6,6,2,0
8,47.12,33,15,6,6,2,0
6,23.53,30,15,6,6,2,0
13,63.33,7,15,6,6,2,0
12,192.78,1,11,6,6,2,0
12,118.52,31,9,7,6,2,0
13,48.35,6,11,7,6,2,0
9,2.06,29,20,7,6,2,0
12,86.68,18,14,7,6,2,0
6,82.52,5,5,7,6,2,0
12,58.35,22,12,7,6,2,0
12,110.09,11,11,7,6,2,0
7,5.43,5,7,7,6,2,0
9,84.96,15,19,7,6,2,0
13,48.9,5,5,7,6,2,0
12,125.08,9,10,7,6,2,0
11,49.09,17,3,7,6,2,0
11,64.92,25,16,7,6,2,0
11,60.86,11,11,7,6,2,0
11,71.13,28,3,7,6,2,0
11,60.82,25,21,7,6,2,0
9,3.85,31,9,8,6,2,0
4,11.28,23,16,8,6,2,0
12,54.74,1,20,8,6,2,0
11,47.13,17,7,8,6,2,0
7,138.77,14,13,8,6,2,0
11,76.91,23,16,8,6,2,0
11,72.03,33,15,8,6,2,0
7,8.94,3,3,9,6,2,0
11,48.7,6,6,9,6,2,0
7,5.18,30,15,9,6,2,0
7,1.87,11,21,9,6,2,0
13,54.81,16,4,9,6,2,0
6,1.24,11,3,9,6,2,0
11,70.56,9,10,10,6,2,0
8,19.83,33,20,10,6,2,0
9,6.0,30,15,10,6,2,0
6,3.75,33,15,10,6,2,0
3,26.23,21,13,10,6,2,0
4,160.4,29,6,10,6,2,0
7,827.94,23,16,10,6,2,0
12,179.01,5,5,10,6,2,0
7,7.83,9,8,10,6,2,0
11,110.11,29,20,10,6,2,0
13,78.16,4,4,10,6,2,0
